group,group_start_ms,group_end_ms,group_runtime_ms,group_selected_time_ms,group_selected_energy_mJ,clock_label,clock_key,node,workload_idx,workload,kernel,kernel_id,kernel_start_ms,kernel_end_ms,kernel_auto_time_ms,kernel_auto_energy_mJ,kernel_pref_core,kernel_pref_mem,kernel_pref_pair
7,509.88762165223824,510.8883676826904,1.0007460304521658,1.288760505055517,145.10111364667603,1470/810,1470/810,28,8,3mm,mm3_kernel1,3mm::mm3kernel1,509.89488574674107,510.22470190769087,0.3298161609498,112.27612137203161,1470,810,1470/810
7,509.88762165223824,510.8883676826904,1.0007460304521658,1.288760505055517,145.10111364667603,1470/810,1470/810,29,8,3mm,mm3_kernel2,3mm::mm3kernel2,510.22470190769087,510.5522549374976,0.3275530298067,112.2482803799541,1470,810,1470/810
7,509.88762165223824,510.8883676826904,1.0007460304521658,1.288760505055517,145.10111364667603,1470/810,1470/810,30,8,3mm,mm3_kernel3,3mm::mm3kernel3,510.5522549374976,510.88110722293,0.3288522854324,113.16270963498839,1470,810,1470/810
7,509.88762165223824,510.8883676826904,1.0007460304521658,1.288760505055517,145.10111364667603,1470/810,1470/810,34,10,euler3d,compute_step_factor,euler3d::computestepfactor,510.88110722293,510.88836768269044,0.0072604597604343,1.4915873221009,1470,810,1470/810
8,510.8883676826904,513.0231457450036,2.1347780623132,2.7981389863280546,383.0268556527444,1470/810,1470/810,37,11,2mm,mm2_kernel1,2mm::mm2kernel1,510.8883676826904,513.0231457450036,2.1347780623132,696.625693555271,1470,810,1470/810
9,513.0231457450036,515.0557648506946,2.032619105691,2.795168809390721,314.63107881498047,1470/810,1470/810,38,11,2mm,mm2_kernel2,2mm::mm2kernel2,513.0231457450036,515.0557648506946,2.032619105691,674.4752032520325,1470,810,1470/810
10,515.0557648506946,516.2864019011711,1.23063705047645,1.2445313263303908,217.6359182495852,1890/5001,1890/5001,26,7,gramschmidt,kernel2,gramschmidt::kernel2,515.0557648506946,515.0626339129185,0.0068690622239501,0.7647887149798,1890,5001,1890/5001
10,515.0557648506946,516.2864019011711,1.23063705047645,1.2445313263303908,217.6359182495852,1890/5001,1890/5001,39,12,atax,atax_kernel1,atax::ataxkernel1,515.0626339129185,516.286401901171,1.2237679882524999,296.9816446402349,1890,5001,1890/5001
11,516.2864019011711,517.626323694353,1.3399217931819147,1.5407122992701876,202.6259744030615,1470/9251,1470/9251,1,1,srad_v1,extract,sradv1::extract,516.2864019011711,516.333169532494,0.0467676313229571,14.5006360371146,1470,9251,1470/9251
11,516.2864019011711,517.626323694353,1.3399217931819147,1.5407122992701876,202.6259744030615,1470/9251,1470/9251,16,4,pre_euler3d,compute_flux,preeuler3d::computeflux,516.333169532494,516.3844218055242,0.0512522730301259,17.4272066586713,1470,9251,1470/9251
11,516.2864019011711,517.626323694353,1.3399217931819147,1.5407122992701876,202.6259744030615,1470/9251,1470/9251,35,10,euler3d,compute_flux,euler3d::computeflux,516.3844218055242,516.4100749103064,0.0256531047822317,8.8364364908752,1470,9251,1470/9251
11,516.2864019011711,517.626323694353,1.3399217931819147,1.5407122992701876,202.6259744030615,1470/9251,1470/9251,40,12,atax,atax_kernel2,atax::ataxkernel2,516.4100749103064,517.626323694353,1.2162487840466,241.7205739299611,1470,9251,1470/9251
12,517.626323694353,520.0005492404118,2.3742255460588,2.473166172106825,568.2388724035608,1050/9251,1050/9251,56,22,kmeans,kmeansPoint,kmeans::kmeanspoint,517.626323694353,520.0005492404118,2.3742255460588,794.7644824311491,1050,9251,1050/9251
13,520.0005492404118,521.2073179991166,1.2067687587048002,1.2311660493458931,172.9476627712956,1890/9251,1890/9251,7,2,correlation,mean_kernel,correlation::meankernel,520.0005492404118,520.6028435068537,0.6022942664418001,104.5072271741749,1890,9251,1890/9251
13,520.0005492404118,521.2073179991166,1.2067687587048002,1.2311660493458931,172.9476627712956,1890/9251,1890/9251,8,2,correlation,std_kernel,correlation::stdkernel,520.6028435068537,521.2073179991166,0.604474492263,99.2397243713733,1890,9251,1890/9251
14,521.2073179991166,522.9643855144947,1.757067515378,1.7848735481501528,249.72004473745517,1890/9251,1890/9251,19,5,covariance,mean_kernel,covariance::meankernel,521.2073179991166,521.811042341063,0.6037243419463,104.3458101907751,1890,9251,1890/9251
14,521.2073179991166,522.9643855144947,1.757067515378,1.7848735481501528,249.72004473745517,1890/9251,1890/9251,27,7,gramschmidt,kernel3,gramschmidt::kernel3,521.811042341063,522.9643855144947,1.1533431734317001,177.3369464944649,1890,9251,1890/9251
15,522.9643855144947,1871.7761355144949,1348.81175,1342.44225,226201.25,1950/9251,1950/9251,20,5,covariance,covar_kernel,covariance::covarkernel,522.9643855144947,1871.7761355144949,1348.81175,242987.75,1950,9251,1950/9251
16,1871.7761355144949,1873.1893231381173,1.4131876236224001,1.4360054566341185,234.58587018954623,1890/5001,1890/5001,57,23,gesummv,gesummv_kernel,gesummv::gesummvkernel,1871.7761355144949,1873.1893231381173,1.4131876236224001,303.2195535461995,1890,5001,1890/5001
17,1873.1893231381173,1874.4791085939135,1.289785455796072,1.466307827776978,181.26783730988834,1470/9251,1470/9251,9,2,correlation,reduce_kernel,correlation::reducekernel,1873.1893231381173,1873.2356830758097,0.0463599376923932,16.0785428179356,1470,9251,1470/9251
17,1873.1893231381173,1874.4791085939135,1.289785455796072,1.466307827776978,181.26783730988834,1470/9251,1470/9251,21,5,covariance,reduce_kernel,covariance::reducekernel,1873.2356830758097,1873.2819762022448,0.0462931264350788,15.5817902377601,1470,9251,1470/9251
17,1873.1893231381173,1874.4791085939135,1.289785455796072,1.466307827776978,181.26783730988834,1470/9251,1470/9251,41,13,bicg,bicg_kernel1,bicg::bicgkernel1,1873.2819762022448,1874.4791085939135,1.1971323916685999,219.7598755087383,1470,9251,1470/9251
18,1874.4791085939135,3225.9838585939133,1351.5047499999998,1341.242,222262.5,1950/9251,1950/9251,10,2,correlation,corr_kernel,correlation::corrkernel,1874.4791085939135,3225.9838585939133,1351.5047499999998,243653.5,1950,9251,1950/9251
19,3225.9838585939133,3227.438315614212,1.454457020298766,1.8037821944826735,272.5513856377877,1470/5001,1470/5001,48,16,doitgen,kernel2,doitgen::kernel2,3225.9838585939133,3225.990157787366,0.0062991934528833,0.684274976882,1470,810,1470/810
19,3225.9838585939133,3227.438315614212,1.454457020298766,1.8037821944826735,272.5513856377877,1470/5001,1470/5001,51,18,jacobi1d,kernel1,jacobi1d::kernel1,3225.990157787366,3225.996038552571,0.0058807652047093,0.6770520917869,1470,810,1470/810
19,3225.9838585939133,3227.438315614212,1.454457020298766,1.8037821944826735,272.5513856377877,1470/5001,1470/5001,58,24,lavamd,kernel_gpu_cuda,lavamd::kernelgpucuda,3225.996038552571,3226.636876179125,0.6408376265537999,217.953479430988,1470,810,1470/810
19,3225.9838585939133,3227.438315614212,1.454457020298766,1.8037821944826735,272.5513856377877,1470/5001,1470/5001,60,26,gemm,gemm_kernel,gemm::gemmkernel,3226.636876179125,3226.962410619229,0.32553444010410004,103.9372395833333,1470,810,1470/810
19,3225.9838585939133,3227.438315614212,1.454457020298766,1.8037821944826735,272.5513856377877,1470/5001,1470/5001,65,31,hotspot,calculate_temp,hotspot::calculatetemp,3226.962410619229,3226.9716893228124,0.009278703583424499,2.4721231465845,1890,810,1890/810
19,3225.9838585939133,3227.438315614212,1.454457020298766,1.8037821944826735,272.5513856377877,1470/5001,1470/5001,52,18,jacobi1d,kernel2,jacobi1d::kernel2,3226.9716893228124,3226.977993021688,0.0063036988755488,0.6731565192066,1890,810,1890/810
19,3225.9838585939133,3227.438315614212,1.454457020298766,1.8037821944826735,272.5513856377877,1470/5001,1470/5001,43,14,mvt,kernel1,mvt::kernel1,3226.977993021688,3227.438315614212,0.4603225925243,111.7953415577241,1470,5001,1470/5001
20,3227.438315614212,3228.620613250146,1.1822976359338,1.3656542872747133,160.28399781540142,1470/9251,1470/9251,44,14,mvt,kernel2,mvt::kernel2,3227.438315614212,3228.620613250146,1.1822976359338,214.6075650118204,1470,9251,1470/9251
21,3228.620613250146,3229.718645567614,1.0980323174681574,1.1232846084265384,232.8398887261701,1050/9251,1050/9251,2,1,srad_v1,prepare,sradv1::prepare,3228.620613250146,3228.688254078068,0.0676408279220779,22.6572375541125,630,9251,630/9251
21,3228.620613250146,3229.718645567614,1.0980323174681574,1.1232846084265384,232.8398887261701,1050/9251,1050/9251,31,9,fdtd2d,step1,fdtd2d::step1,3228.688254078068,3228.7560524753344,0.0677983972664036,22.852255623805,630,9251,630/9251
21,3228.620613250146,3229.718645567614,1.0980323174681574,1.1232846084265384,232.8398887261701,1050/9251,1050/9251,32,9,fdtd2d,step2,fdtd2d::step2,3228.7560524753344,3228.8237036138967,0.067651138562286,22.7764548295877,630,9251,630/9251
21,3228.620613250146,3229.718645567614,1.0980323174681574,1.1232846084265384,232.8398887261701,1050/9251,1050/9251,33,9,fdtd2d,step3,fdtd2d::step3,3228.8237036138967,3228.910438604443,0.0867349905459087,29.2824604923066,630,9251,630/9251
21,3228.620613250146,3229.718645567614,1.0980323174681574,1.1232846084265384,232.8398887261701,1050/9251,1050/9251,59,25,streamcluster,compute_cost,streamcluster::computecost,3228.910438604443,3229.2972348448698,0.386796240427,126.6268275702018,630,9251,630/9251
21,3228.620613250146,3229.718645567614,1.0980323174681574,1.1232846084265384,232.8398887261701,1050/9251,1050/9251,62,28,nn,euclid,nn::euclid,3229.2972348448698,3229.4481103427574,0.1508754978877,51.1659927579963,630,9251,630/9251
21,3228.620613250146,3229.718645567614,1.0980323174681574,1.1232846084265384,232.8398887261701,1050/9251,1050/9251,63,29,hotspot3d,hotspotOpt1,hotspot3d::hotspotopt1,3229.4481103427574,3229.4863831646676,0.0382728219102585,13.520491113118199,1050,9251,1050/9251
21,3228.620613250146,3229.718645567614,1.0980323174681574,1.1232846084265384,232.8398887261701,1050/9251,1050/9251,64,30,pathfinder,dynproc,pathfinder::dynproc,3229.4863831646676,3229.5060216214024,0.019638456734602495,6.0374818835598,1470,9251,1470/9251
21,3228.620613250146,3229.718645567614,1.0980323174681574,1.1232846084265384,232.8398887261701,1050/9251,1050/9251,45,15,jacobi2d,kernel1,jacobi2d::kernel1,3229.5060216214024,3229.522925758501,0.0169041370986554,5.4605036732513,1470,9251,1470/9251
21,3228.620613250146,3229.718645567614,1.0980323174681574,1.1232846084265384,232.8398887261701,1050/9251,1050/9251,46,15,jacobi2d,kernel2,jacobi2d::kernel2,3229.522925758501,3229.539393846691,0.0164680881897647,4.6157671811289,1470,9251,1470/9251
21,3228.620613250146,3229.718645567614,1.0980323174681574,1.1232846084265384,232.8398887261701,1050/9251,1050/9251,22,6,gemver,gemver_kernel1,gemver::gemverkernel1,3229.539393846691,3229.718645567614,0.1792517209235,60.948085472536896,1470,9501,1470/9501
22,3229.718645567614,3230.9136266906726,1.1949811230585,1.22071337890625,190.741943359375,1890/9501,1890/9501,23,6,gemver,gemver_kernel2,gemver::gemverkernel2,3229.718645567614,3230.9136266906726,1.1949811230585,212.0100358422939,1890,9501,1890/9501
23,3230.9136266906726,3232.8709594531306,1.957332762458115,1.996643600107324,455.7863531456869,1890/9251,1890/9251,3,1,srad_v1,reduce,sradv1::reduce,3230.9136266906726,3231.0292681171954,0.1156414265229,36.0272908090105,1890,5001,1890/5001
23,3230.9136266906726,3232.8709594531306,1.957332762458115,1.996643600107324,455.7863531456869,1890/9251,1890/9251,24,6,gemver,gemver_kernel3,gemver::gemverkernel3,3231.0292681171954,3231.7069458076267,0.677677690431,142.1137164543236,1890,5001,1890/5001
23,3230.9136266906726,3232.8709594531306,1.957332762458115,1.996643600107324,455.7863531456869,1890/9251,1890/9251,42,13,bicg,bicg_kernel2,bicg::bicgkernel2,3231.7069458076267,3232.3464825770343,0.6395367694077999,134.00882465788462,1890,5001,1890/5001
23,3230.9136266906726,3232.8709594531306,1.957332762458115,1.996643600107324,455.7863531456869,1890/9251,1890/9251,17,4,pre_euler3d,compute_flux_contributions,preeuler3d::computefluxcontributions,3232.3464825770343,3232.3574703784016,0.0109878013673192,2.6091097481381,1470,9501,1470/9501
23,3230.9136266906726,3232.8709594531306,1.957332762458115,1.996643600107324,455.7863531456869,1890/9251,1890/9251,36,10,euler3d,time_step,euler3d::timestep,3232.3574703784016,3232.3663018356424,0.0088314572408104,2.0956939658293,1470,9501,1470/9501
23,3230.9136266906726,3232.8709594531306,1.957332762458115,1.996643600107324,455.7863531456869,1890/9251,1890/9251,61,27,2dconv,convolution2D_kernel,2dconv::convolution2dkernel,3232.3663018356424,3232.5395643278457,0.1732624922032,59.5221429066463,1470,9501,1470/9501
23,3230.9136266906726,3232.8709594531306,1.957332762458115,1.996643600107324,455.7863531456869,1890/9251,1890/9251,18,4,pre_euler3d,time_step,preeuler3d::timestep,3232.5395643278457,3232.547619862636,0.0080555347902019,1.9303712630418002,1470,9251,1470/9251
23,3230.9136266906726,3232.8709594531306,1.957332762458115,1.996643600107324,455.7863531456869,1890/9251,1890/9251,4,1,srad_v1,srad,sradv1::srad,3232.547619862636,3232.678899354326,0.13127949169,45.7188279465434,1050,9501,1050/9501
23,3230.9136266906726,3232.8709594531306,1.957332762458115,1.996643600107324,455.7863531456869,1890/9251,1890/9251,5,1,srad_v1,srad2,sradv1::srad2,3232.678899354326,3232.8241384399275,0.14523908560139998,50.0577163273012,1050,9251,1050/9251
23,3230.9136266906726,3232.8709594531306,1.957332762458115,1.996643600107324,455.7863531456869,1890/9251,1890/9251,6,1,srad_v1,compress,sradv1::compress,3232.8241384399275,3232.870959453131,0.046821013203483405,14.9760183537784,1470,9251,1470/9251
