workload,kernel,requested_core_clock,requested_mem_clock,requested_pair,is_auto_baseline,applied_core_clock,applied_mem_clock,n,measured_launches_mean,measured_launches_std,total_time_mean_ms,total_time_std_ms,total_energy_mean_mJ,total_energy_std_mJ,avg_power_mean_W,avg_power_std_W,time_per_launch_mean_ms,time_per_launch_std_ms,energy_per_launch_mean_mJ,energy_per_launch_std_mJ,effective_core_clock,effective_mem_clock,num_requested_pairs_merged,requested_pairs_merged,requested_core_clock_original,requested_mem_clock_original
gemver,gemver_kernel3,auto,auto,auto/auto,1,255,5001,1,7378.0,0.0,4999.906,0.0,1048515.0,0.0,209.706952,0.0,0.6776776904310111,0.0,142.11371645432365,0.0,,,1,auto/auto,auto,auto
gesummv,gesummv_kernel,auto,auto,auto/auto,1,300,5001,1,3539.0,0.0,5001.271,0.0,1073094.0,0.0,214.564258,0.0,1.413187623622492,0.0,303.2195535461995,0.0,,,1,auto/auto,auto,auto
gramschmidt,kernel1,auto,auto,auto/auto,1,240,810,1,62798.0,0.0,5000.023,0.0,766991.0,0.0,153.397496,0.0,0.0796207363291824,0.0,12.213621452912513,0.0,,,1,auto/auto,auto,auto
gramschmidt,kernel2,auto,auto,auto/auto,1,270,405,1,727903.0,0.0,5000.011,0.0,556692.0,0.0,111.33815,0.0,0.0068690622239501,0.0,0.7647887149798805,0.0,,,1,auto/auto,auto,auto
gramschmidt,kernel3,auto,auto,auto/auto,1,435,810,1,4336.0,0.0,5000.896,0.0,768933.0,0.0,153.759031,0.0,1.1533431734317343,0.0,177.33694649446494,0.0,,,1,auto/auto,auto,auto
jacobi1d,kernel1,auto,auto,auto/auto,1,285,810,1,850230.0,0.0,5000.003,0.0,575650.0,0.0,115.129921,0.0,0.0058807652047093,0.0,0.6770520917869283,0.0,,,1,auto/auto,auto,auto
jacobi1d,kernel2,auto,auto,auto/auto,1,405,405,1,793187.0,0.0,5000.012,0.0,533939.0,0.0,106.78755,0.0,0.0063036988755488,0.0,0.6731565192066941,0.0,,,1,auto/auto,auto,auto
jacobi2d,kernel1,auto,auto,auto/auto,1,255,5001,1,295787.0,0.0,5000.024,0.0,1615146.0,0.0,323.027654,0.0,0.0169041370986554,0.0,5.46050367325136,0.0,,,1,auto/auto,auto,auto
jacobi2d,kernel2,auto,auto,auto/auto,1,315,5001,1,303618.0,0.0,5000.008,0.0,1401430.0,0.0,280.285535,0.0,0.0164680881897647,0.0,4.615767181128919,0.0,,,1,auto/auto,auto,auto
mvt,kernel1,auto,auto,auto/auto,1,210,5001,1,10862.0,0.0,5000.024,0.0,1214321.0,0.0,242.863038,0.0,0.460322592524397,0.0,111.79534155772416,0.0,,,1,auto/auto,auto,auto
mvt,kernel2,auto,auto,auto/auto,1,255,5001,1,4230.0,0.0,5001.119,0.0,907790.0,0.0,181.517389,0.0,1.182297635933806,0.0,214.60756501182036,0.0,,,1,auto/auto,auto,auto
syr2k,syr2k_kernel,auto,auto,auto/auto,1,255,5001,1,322.0,0.0,5003.158,0.0,1278506.0,0.0,255.539791,0.0,15.537757763975156,0.0,3970.515527950311,0.0,,,1,auto/auto,auto,auto
syrk,syrk_kernel,auto,auto,auto/auto,1,240,810,1,629.0,0.0,5006.361,0.0,1250206.0,0.0,249.72351,0.0,7.959238473767885,0.0,1987.608903020668,0.0,,,1,auto/auto,auto,auto
hotspot,calculate_temp,auto,auto,auto/auto,1,240,405,1,538870.0,0.0,5000.015,0.0,1332153.0,0.0,266.429819,0.0,0.0092787035834245,0.0,2.4721231465845195,0.0,,,1,auto/auto,auto,auto
hotspot3d,hotspotOpt1,auto,auto,auto/auto,1,285,810,1,130642.0,0.0,5000.038,0.0,1766344.0,0.0,353.266144,0.0,0.0382728219102585,0.0,13.520491113118291,0.0,,,1,auto/auto,auto,auto
kmeans,kmeansPoint,auto,auto,auto/auto,1,345,810,1,2106.0,0.0,5000.119,0.0,1673774.0,0.0,334.746824,0.0,2.374225546058879,0.0,794.7644824311491,0.0,,,1,auto/auto,auto,auto
lavamd,kernel_gpu_cuda,auto,auto,auto/auto,1,240,405,1,7803.0,0.0,5000.456,0.0,1700691.0,0.0,340.107179,0.0,0.6408376265538895,0.0,217.95347943098807,0.0,,,1,auto/auto,auto,auto
myocyte,solver_2,auto,auto,auto/auto,1,330,405,1,12.0,0.0,5326.712,0.0,752463.0,0.0,141.262192,0.0,443.8926666666667,0.0,62705.25,0.0,,,1,auto/auto,auto,auto
nn,euclid,auto,auto,auto/auto,1,240,810,1,33140.0,0.0,5000.014,0.0,1695641.0,0.0,339.127273,0.0,0.1508754978877489,0.0,51.16599275799638,0.0,,,1,auto/auto,auto,auto
nw,shared_1,auto,auto,auto/auto,1,330,405,1,562849.0,0.0,5000.007,0.0,820943.0,0.0,164.188359,0.0,0.0088833896835563,0.0,1.458549273428575,0.0,,,1,auto/auto,auto,auto
nw,shared_2,auto,auto,auto/auto,1,300,405,1,592942.0,0.0,5000.007,0.0,831779.0,0.0,166.355573,0.0,0.0084325397762344,0.0,1.4027999365873896,0.0,,,1,auto/auto,auto,auto
particlefilter,find_index,auto,auto,auto/auto,1,255,405,1,174.0,0.0,5011.881,0.0,944013.0,0.0,188.355018,0.0,28.80391379310345,0.0,5425.362068965517,0.0,,,1,auto/auto,auto,auto
particlefilter,likelihood,auto,auto,auto/auto,1,270,810,1,806.0,0.0,5005.241,0.0,987359.0,0.0,197.265018,0.0,6.209976426799008,0.0,1225.0111662531017,0.0,,,1,auto/auto,auto,auto
particlefilter,normalize_weights,auto,auto,auto/auto,1,255,405,1,681.0,0.0,5006.095,0.0,693436.0,0.0,138.51834,0.0,7.351093979441997,0.0,1018.2613803230544,0.0,,,1,auto/auto,auto,auto
particlefilter,sum,auto,auto,auto/auto,1,315,405,1,423933.0,0.0,5000.013,0.0,698405.0,0.0,139.680645,0.0,0.0117943472199616,0.0,1.6474419306824428,0.0,,,1,auto/auto,auto,auto
pathfinder,dynproc,auto,auto,auto/auto,1,240,5001,1,254603.0,0.0,5000.01,0.0,1537161.0,0.0,307.4316,0.0,0.0196384567346025,0.0,6.037481883559895,0.0,,,1,auto/auto,auto,auto
srad_v1,compress,auto,auto,auto/auto,1,315,810,1,106790.0,0.0,5000.016,0.0,1599289.0,0.0,319.8568,0.0,0.0468210132034834,0.0,14.976018353778445,0.0,,,1,auto/auto,auto,auto
srad_v1,extract,auto,auto,auto/auto,1,255,5001,1,106912.0,0.0,5000.021,0.0,1550292.0,0.0,310.057068,0.0,0.0467676313229571,0.0,14.500636037114637,0.0,,,1,auto/auto,auto,auto
srad_v1,prepare,auto,auto,auto/auto,1,255,810,1,73920.0,0.0,5000.01,0.0,1674823.0,0.0,334.963913,0.0,0.0676408279220779,0.0,22.657237554112555,0.0,,,1,auto/auto,auto,auto
srad_v1,reduce,auto,auto,auto/auto,1,255,5001,1,43238.0,0.0,5000.104,0.0,1557748.0,0.0,311.54315,0.0,0.1156414265229659,0.0,36.027290809010594,0.0,,,1,auto/auto,auto,auto
srad_v1,srad,auto,auto,auto/auto,1,345,810,1,38087.0,0.0,5000.042,0.0,1741293.0,0.0,348.255675,0.0,0.131279491690078,0.0,45.71882794654344,0.0,,,1,auto/auto,auto,auto
srad_v1,srad2,auto,auto,auto/auto,1,255,810,1,34427.0,0.0,5000.146,0.0,1723337.0,0.0,344.65737,0.0,0.1452390856014175,0.0,50.05771632730124,0.0,,,1,auto/auto,auto,auto
streamcluster,compute_cost,auto,auto,auto/auto,1,300,810,1,12927.0,0.0,5000.115,0.0,1636905.0,0.0,327.373455,0.0,0.3867962404270132,0.0,126.6268275702019,0.0,,,1,auto/auto,auto,auto
euler3d,compute_flux,auto,auto,auto/auto,1,300,5001,1,194909.0,0.0,5000.021,0.0,1722301.0,0.0,344.458787,0.0,0.0256531047822317,0.0,8.83643649087523,0.0,,,1,auto/auto,auto,auto
euler3d,compute_step_factor,auto,auto,auto/auto,1,255,810,1,688663.0,0.0,5000.01,0.0,1027201.0,0.0,205.439799,0.0,0.0072604597604343,0.0,1.4915873221009406,0.0,,,1,auto/auto,auto,auto
euler3d,time_step,auto,auto,auto/auto,1,345,5001,1,566159.0,0.0,5000.009,0.0,1186496.0,0.0,237.298783,0.0,0.0088314572408104,0.0,2.095693965829387,0.0,,,1,auto/auto,auto,auto
pre_euler3d,compute_flux,auto,auto,auto/auto,1,270,5001,1,97557.0,0.0,5000.018,0.0,1700146.0,0.0,340.027971,0.0,0.0512522730301259,0.0,17.42720665867134,0.0,,,1,auto/auto,auto,auto
pre_euler3d,compute_flux_contributions,auto,auto,auto/auto,1,300,5001,1,455051.0,0.0,5000.01,0.0,1187278.0,0.0,237.455136,0.0,0.0109878013673192,0.0,2.609109748138121,0.0,,,1,auto/auto,auto,auto
pre_euler3d,compute_step_factor,auto,auto,auto/auto,1,285,405,1,688318.0,0.0,5000.007,0.0,1042969.0,0.0,208.593515,0.0,0.0072640945028315,0.0,1.5152429545646051,0.0,,,1,auto/auto,auto,auto
pre_euler3d,time_step,auto,auto,auto/auto,1,270,5001,1,620692.0,0.0,5000.006,0.0,1198166.0,0.0,239.632919,0.0,0.0080555347902019,0.0,1.9303712630418952,0.0,,,1,auto/auto,auto,auto
2dconv,convolution2D_kernel,210,405,210/405,0,210,405,1,928.0,0.0,5001.789,0.0,211602.0,0.0,42.305263,0.0,5.389858836206896,0.0,228.01939655172413,0.0,210.0,405.0,1,210/405,210,405
2dconv,convolution2D_kernel,210,810,210/810,0,210,810,1,2274.0,0.0,5000.141,0.0,276398.0,0.0,55.278045,0.0,2.1988306948109058,0.0,121.54705364995604,0.0,210.0,810.0,1,210/810,210,810
2dconv,convolution2D_kernel,210,5001,210/5001,0,210,5001,1,7328.0,0.0,5000.614,0.0,584108.0,0.0,116.80725,0.0,0.6823981986899563,0.0,79.70906113537117,0.0,210.0,5001.0,1,210/5001,210,5001
2dconv,convolution2D_kernel,210,9251,210/9251,0,210,9251,1,7231.0,0.0,5000.09,0.0,730488.0,0.0,146.094975,0.0,0.6914797400082976,0.0,101.02171207301896,0.0,210.0,9251.0,1,210/9251,210,9251
2dconv,convolution2D_kernel,210,9501,210/9501,0,210,9501,1,7221.0,0.0,5000.33,0.0,746604.0,0.0,149.310943,0.0,0.6924705719429441,0.0,103.39343581221438,0.0,210.0,9501.0,1,210/9501,210,9501
