workload,kernel,kernel_id,requested_core_clock,requested_mem_clock,effective_core_clock,effective_mem_clock,time_per_launch_mean_ms,energy_per_launch_mean_mJ,auto_time_per_launch_mean_ms,auto_energy_per_launch_mean_mJ,actual_time_ratio,actual_energy_ratio,is_virtual_auto,global_limit,allowed_total_time_ms,auto_total_time_ms,solver_objective_energy_mJ,constraint_name,constraint_limit,selected_actual_energy_saving_pct
gramschmidt,kernel3,gramschmidt::kernel3,1890,9251,1890.0,9251.0,1.17304105090312,163.3373211353507,1.1533431734317343,177.33694649446494,1.0170789387973531,0.9210563526898712,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,7.894364731012882
hotspot,calculate_temp,hotspot::calculatetemp,1890,810,1890.0,810.0,0.0097150347873608,1.6180670730893854,0.0092787035834245,2.4721231465845195,1.0470250180979768,0.6545252712531346,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,34.547472874686534
hotspot3d,hotspotOpt1,hotspot3d::hotspotopt1,1050,9251,1050.0,9251.0,0.0399548672707803,8.338127886720685,0.0382728219102585,13.520491113118291,1.043948819986826,0.6167030337108534,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,38.329696628914654
jacobi1d,kernel1,jacobi1d::kernel1,1470,810,1470.0,810.0,0.0063646639599609,0.2836873153819521,0.0058807652047093,0.6770520917869283,1.0822849983645146,0.4190036761177749,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,58.09963238822251
jacobi1d,kernel2,jacobi1d::kernel2,1890,810,1890.0,810.0,0.0058559617722317,0.4251698041998192,0.0063036988755488,0.6731565192066941,0.9289723205126736,0.631606160036712,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,36.8393839963288
jacobi2d,kernel1,jacobi2d::kernel1,1470,9251,1470.0,9251.0,0.0166728522886801,3.258795754429139,0.0169041370986554,5.46050367325136,0.9863178576566504,0.5967939863116596,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,40.32060136883404
jacobi2d,kernel2,jacobi2d::kernel2,1470,9251,1470.0,9251.0,0.0163814411710743,2.976623725526171,0.0164680881897647,4.615767181128919,0.9947384895142684,0.6448816867747978,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,35.511831322520216
kmeans,kmeansPoint,kmeans::kmeanspoint,1050,9251,1050.0,9251.0,2.473166172106825,568.2388724035608,2.374225546058879,794.7644824311491,1.0416727998787578,0.7149776883150886,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,28.502231168491143
lavamd,kernel_gpu_cuda,lavamd::kernelgpucuda,1470,810,1470.0,810.0,0.7697397494942354,123.0254715325192,0.6408376265538895,217.95347943098807,1.201146308517367,0.5644574789707522,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,43.554252102924785
mvt,kernel1,mvt::kernel1,1470,5001,1470.0,5001.0,0.5821614856211433,67.39748515543137,0.460322592524397,111.79534155772416,1.2646815408919754,0.6028648798450291,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,39.71351201549709
mvt,kernel2,mvt::kernel2,1470,9251,1470.0,9251.0,1.3656542872747133,160.28399781540142,1.182297635933806,214.6075650118204,1.1550850190071538,0.746870213110023,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,25.3129786889977
myocyte,solver_2,myocyte::solver2,1890,810,1890.0,810.0,455.9126363636364,32109.636363636364,443.8926666666667,62705.25,1.0270785498378054,0.5120725356112346,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,48.79274643887654
nn,euclid,nn::euclid,630,9251,630.0,9251.0,0.1518756758398639,32.82097077941802,0.1508754978877489,51.16599275799638,1.0066291609049676,0.6414606462275406,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,35.85393537724594
nw,shared_1,nw::shared1,1890,810,1890.0,810.0,0.0093448452534166,0.8153101038600392,0.0088833896835563,1.458549273428575,1.0519458884838162,0.5589870145034664,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,44.10129854965336
nw,shared_2,nw::shared2,1890,810,1890.0,810.0,0.0091337262032808,0.7986729411806343,0.0084325397762344,1.4027999365873896,1.0831524600717055,0.5693420140320057,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,43.06579859679943
particlefilter,find_index,particlefilter::findindex,1890,810,1890.0,810.0,29.71925443786982,3137.1686390532545,28.80391379310345,5425.362068965517,1.0317783427398513,0.5782413411629568,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,42.17586588370432
particlefilter,likelihood,particlefilter::likelihood,1890,5001,1890.0,5001.0,6.464649870801034,957.4870801033592,6.209976426799008,1225.0111662531017,1.0410103721010902,0.7816149815450181,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,21.838501845498193
particlefilter,normalize_weights,particlefilter::normalizeweights,1890,810,1890.0,810.0,7.587107775785165,507.7907584954247,7.351093979441997,1018.2613803230544,1.0321059419187404,0.4986840985114477,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,50.13159014885523
particlefilter,sum,particlefilter::sum,1890,810,1890.0,810.0,0.0122625015960409,0.8225484434741195,0.0117943472199616,1.6474419306824428,1.0396931146207873,0.4992882772708011,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,50.07117227291988
pathfinder,dynproc,pathfinder::dynproc,1470,9251,1470.0,9251.0,0.02204249344237,3.97641457447043,0.0196384567346025,6.037481883559895,1.1224147467520524,0.6586213675105568,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,34.13786324894432
pre_euler3d,compute_flux,preeuler3d::computeflux,1470,9251,1470.0,9251.0,0.0588173840416897,12.623839828724018,0.0512522730301259,17.42720665867134,1.147605375611674,0.7243754019777295,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,27.562459802227046
pre_euler3d,compute_flux_contributions,preeuler3d::computefluxcontributions,1470,9501,1470.0,9501.0,0.0119015010140056,1.8484989859943444,0.0109878013673192,2.609109748138121,1.0831558212732166,0.7084788163140497,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,29.152118368595026
pre_euler3d,compute_step_factor,preeuler3d::computestepfactor,1470,810,1470.0,810.0,0.008789998327606,0.5934662734510904,0.0072640945028315,1.5152429545646051,1.2100611196866604,0.3916641035441203,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,60.83358964558797
pre_euler3d,time_step,preeuler3d::timestep,1470,9251,1470.0,9251.0,0.0089727981250482,1.28280761824776,0.0080555347902019,1.9303712630418952,1.1138674661255246,0.6645393260912416,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,33.54606739087585
srad_v1,compress,sradv1::compress,1470,9251,1470.0,9251.0,0.0472129098051065,9.3481927028252,0.0468210132034834,14.976018353778445,1.0083701008331436,0.6242108203925013,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,37.57891796074987
srad_v1,extract,sradv1::extract,1470,9251,1470.0,9251.0,0.0471987709560489,9.222473946533755,0.0467676313229571,14.500636037114637,1.0092187613718244,0.6360047878540409,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,36.39952121459591
srad_v1,prepare,sradv1::prepare,630,9251,630.0,9251.0,0.0696044128906522,13.95758335073432,0.0676408279220779,22.657237554112555,1.029029582116238,0.6160319993732357,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,38.39680006267643
srad_v1,reduce,sradv1::reduce,1890,5001,1890.0,5001.0,0.1178691419141914,28.01999057048562,0.1156414265229659,36.027290809010594,1.0192639909261505,0.7777434811578363,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,22.22565188421637
srad_v1,srad,sradv1::srad,1050,9501,1050.0,9501.0,0.1318965153393653,32.439552612836,0.131279491690078,45.71882794654344,1.0047000764654388,0.7095447120990463,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,29.045528790095364
srad_v1,srad2,sradv1::srad2,1050,9251,1050.0,9251.0,0.1457154514192458,33.52316838608148,0.1452390856014175,50.05771632730124,1.003279873429771,0.6696903264002497,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,33.03096735997503
streamcluster,compute_cost,streamcluster::computecost,630,9251,630.0,9251.0,0.3907088607594937,76.74753867791843,0.3867962404270132,126.6268275702019,1.0101154559521082,0.6060922487801379,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,39.39077512198621
syr2k,syr2k_kernel,syr2k::syr2kkernel,1890,810,1890.0,810.0,15.722866381774809,2388.9198606100035,15.537757763975156,3970.515527950311,1.0119134704383688,0.6016649081947375,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,39.83350918052625
syrk,syrk_kernel,syrk::syrkkernel,1890,810,1890.0,810.0,8.071770967741935,1188.923387096774,7.959238473767885,1987.608903020668,1.014138600614234,0.598167670355022,False,1.0,3232.870959453133,3232.870959453133,492626.45803671697,0pct,1.0,40.1832329644978
2dconv,convolution2D_kernel,2dconv::convolution2dkernel,1470,9501,1470.0,9501.0,0.1758553793127703,49.17208877009109,0.1732624922032019,59.52214290664634,1.0149650803044403,0.8261142218486971,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,17.38857781513029
2mm,mm2_kernel1,2mm::mm2kernel1,1890,5001,1890.0,5001.0,2.084351813255523,674.34305960817,2.134778062313273,696.625693555271,0.9763786924983164,0.9680134767447636,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,3.198652325523643
2mm,mm2_kernel2,2mm::mm2kernel2,1890,5001,1890.0,5001.0,2.025129607128392,605.4062373430538,2.032619105691057,674.4752032520325,0.9963153457813638,0.8975959893322133,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,10.24040106677867
3mm,mm3_kernel1,3mm::mm3kernel1,1890,810,1890.0,810.0,0.3303009034162475,77.42452690498267,0.329816160949868,112.27612137203168,1.0014697353367508,0.6895903239160999,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,31.040967608390012
