constraint_name,constraint_limit,feature_set,model,n_kernels,actual_global_energy_saving_pct,actual_global_slowdown_pct,actual_global_time_ratio,actual_global_energy_ratio,pred_global_energy_saving_pct,pred_global_slowdown_pct,global_violates_constraint,global_violation_over_bound_pct,auto_total_time_ms,actual_selected_total_time_ms,pred_selected_total_time_ms,allowed_total_time_ms,auto_total_energy_mJ,actual_selected_total_energy_mJ,pred_selected_total_energy_mJ,auto_selection_rate_pct,measured_oracle_global_energy_saving_pct,measured_oracle_global_slowdown_pct,measured_oracle_global_time_ratio,measured_oracle_global_energy_ratio,global_oracle_gap_pp
0pct,1.0,ptx_launch_runtime,random_forest,65,8.004019046173472,-0.09774119353649358,0.9990225880646351,0.9199598095382653,7.802697133309843,-2.5229276445770665e-07,False,0.0,3232.870959453132,3229.711112791868,3232.8709512968326,3232.870959453132,568841.4193367946,523311.2437905541,524456.4462171235,1.5384615384615385,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,5.394260106729245
0pct,1.0,ptx_launch_runtime,extra_trees,65,8.44668510516754,-0.07608725439578468,0.9992391274560422,0.9155331489483246,8.364046830878513,-1.2206855526386562e-07,False,0.0,3232.870959453133,3230.4111567019263,3232.870955506814,3232.870959453133,568841.4193367946,520793.17589765,521263.2566300311,0.0,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,4.951594047735178
0pct,1.0,ptx_launch_runtime,xgboost,65,9.186754323484125,-0.6174962420897212,0.9938250375791028,0.9081324567651587,8.679438999892941,-1.3674451571077384e-07,False,0.0,3232.870959453133,3212.9081027669,3232.8709550323592,3232.870959453133,568841.4193367946,516583.3556521032,519469.1753393323,0.0,13.398279152902717,-4.382457174934018e-07,0.9999999956175428,0.8660172084709729,4.211524829418591
1pct,1.01,ptx,random_forest,65,10.986453083877446,0.990854592949697,1.009908545929497,0.8901354691612255,9.975162502859803,0.9999996450565041,False,0.0,3232.870959453132,3264.9040098390105,3265.199657572798,3265.1996690476635,568841.4193367948,506345.92367969523,512098.56337437534,3.076923076923077,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,5.3892214307734605
1pct,1.01,ptx,extra_trees,65,11.33487509043083,1.4877547112732925,1.014877547112733,0.8866512490956917,11.20220536822789,0.9999994265705192,True,0.4877547112732916,3232.870959453133,3280.968149461783,3265.1996505094294,3265.1996690476644,568841.4193367946,504363.9549923351,505118.6353231445,0.0,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,5.0407994242200775
1pct,1.01,ptx,xgboost,65,10.833955978410392,1.4922912608925643,1.0149229126089256,0.8916604402158961,10.041094198722455,0.9999990956020666,True,0.49229126089256336,3232.870959453132,3281.1148102569846,3265.1996398096453,3265.1996690476635,568841.4193367946,507213.3903788815,511723.5165798373,1.5384615384615385,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,5.541718536240515
1pct,1.01,launch,random_forest,65,10.656411425100554,0.791987623351198,1.007919876233512,0.8934358857489945,7.816851495117493,0.9999997189813259,False,0.0,3232.870959453133,3258.4748973309165,3265.199659962693,3265.1996690476644,568841.4193367946,508223.33733588434,524375.9303445189,0.0,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,5.719263089550353
1pct,1.01,launch,extra_trees,65,10.800084995739379,0.8695939339522063,1.008695939339522,0.8919991500426062,8.011286735286527,0.9999998614727668,False,0.0,3232.870959453133,3260.9838092090395,3265.1996645692575,3265.1996690476644,568841.4193367946,507406.06255745055,523269.9021646504,0.0,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,5.575589518911528
1pct,1.01,launch,xgboost,65,14.310811835689496,1.9444065234731411,1.0194440652347314,0.856891881643105,11.230985222152178,0.9999995904064862,True,0.9444065234731402,3232.870959453132,3295.7311132842074,3265.199655806033,3265.1996690476635,568841.4193367946,487435.5941720405,504954.92359359853,1.5384615384615385,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,2.0648626789614113
1pct,1.01,runtime,random_forest,65,11.096172029987683,0.9559640683679538,1.0095596406836795,0.8890382797001232,11.018538565178249,0.9999999993923536,False,0.0,3232.870959453132,3263.7760442022063,3265.199669028019,3265.1996690476635,568841.4193367946,505721.7968693603,506163.4081724626,1.5384615384615385,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,5.279502484663224
