target_name,feature_set,model,held_out_kernel_id,n_train_rows,n_test_rows,train_s,predict_s,predict_per_row_ms,n_features
energy_ratio,launch,extra_trees,jacobi1d::kernel1,1641,25,0.4976020858157426,0.24906567111611366,9.962626844644547,19
energy_ratio,launch,extra_trees,jacobi1d::kernel2,1641,25,0.5138066941872239,0.24623488495126367,9.849395398050547,19
energy_ratio,launch,extra_trees,jacobi2d::kernel1,1640,26,0.5264716481324285,0.2552280949894339,9.816465191901305,19
energy_ratio,launch,extra_trees,jacobi2d::kernel2,1640,26,0.5159767598379403,0.23230440099723637,8.934784653739861,19
energy_ratio,launch,extra_trees,kmeans::kmeanspoint,1641,25,0.5043741289991885,0.2492735751438886,9.970943005755544,19
energy_ratio,launch,extra_trees,lavamd::kernelgpucuda,1641,25,0.5035072029568255,0.24561612820252776,9.82464512810111,19
energy_ratio,launch,extra_trees,mvt::kernel1,1640,26,0.4859813929069787,0.23783625289797783,9.147548188383762,19
energy_ratio,launch,extra_trees,mvt::kernel2,1640,26,0.49929281999357045,0.2582068471238017,9.931032581684681,19
energy_ratio,launch,extra_trees,myocyte::solver2,1640,26,0.5191656891256571,0.25059278099797666,9.638183884537565,19
energy_ratio,launch,extra_trees,nn::euclid,1640,26,0.5185150420293212,0.2414835849776864,9.287830191449476,19
energy_ratio,launch,extra_trees,nw::shared1,1641,25,0.5125323389656842,0.2447969459462911,9.791877837851644,19
energy_ratio,launch,extra_trees,nw::shared2,1641,25,0.5648570898920298,0.2693520288448781,10.774081153795123,19
energy_ratio,launch,extra_trees,particlefilter::findindex,1640,26,0.4941889380570501,0.25006081094034016,9.617723497705391,19
energy_ratio,launch,extra_trees,particlefilter::likelihood,1641,25,0.5074628661386669,0.24755090288817883,9.902036115527153,19
energy_ratio,launch,extra_trees,particlefilter::normalizeweights,1641,25,0.5605359862092882,0.25085260393097997,10.034104157239199,19
energy_ratio,launch,extra_trees,particlefilter::sum,1641,25,0.5103039920795709,0.24937026295810938,9.974810518324375,19
energy_ratio,launch,extra_trees,pathfinder::dynproc,1640,26,0.5076635451987386,0.233548266813159,8.982625646659962,19
