n,mae,rmse,mape_pct,median_ape_pct,p90_ape_pct,max_ape_pct,mean_true,mean_pred,target_name,target_col,feature_set,model,n_features,n_folds,n_predict_rows,train_total_s,train_mean_fold_s,train_median_fold_s,train_p90_fold_s,predict_total_s,predict_mean_fold_s,predict_median_fold_s,predict_p90_fold_s,predict_mean_per_row_ms,predict_median_per_row_ms,predict_p90_per_row_ms
1666,0.20326154050873615,0.3877404436673229,15.762616711539629,7.591170067224778,38.51427604989553,281.9132693839486,1.1990506902545597,1.1644183746568206,energy_ratio,energy_ratio_to_auto,launch,random_forest,19,65,1666,69.13571981876157,1.063626458750178,1.0600823562126607,1.1061905710957944,16.73808605130762,0.2575090161739634,0.25303458608686924,0.2757528569083661,10.046870378936145,9.89125675521791,10.884272237953086
1666,0.2115835701435563,0.41369362086446254,16.167841162633405,7.232977098894031,40.010497671356966,292.772236299778,1.1990506902545597,1.166487296914199,energy_ratio,energy_ratio_to_auto,launch,extra_trees,19,65,1666,33.59541482711211,0.5168525358017247,0.5148615390062332,0.5396270365919917,16.46632644138299,0.2533280990981998,0.25006081094034016,0.2716559789143503,9.883749364575625,9.82464512810111,10.748165923958787
1666,0.19825543224966494,0.3908757586669147,15.564129899554294,6.8000960895966465,34.43381597327155,346.21867162620657,1.1990506902545597,1.1841424145475299,energy_ratio,energy_ratio_to_auto,launch,xgboost,19,65,1666,61.070526737486944,0.9395465651921068,0.7347513311542571,1.2517384444829076,0.4676849259994924,0.0071951527076844985,0.003217626130208373,0.01934844059869647,0.2807232448976545,0.12589695863425732,0.7472479554752891
1666,0.11890075732619233,0.2403999217976003,8.65511608163181,4.666456848862676,20.7083232700489,94.4907879601814,1.1990506902545597,1.1616135695887535,energy_ratio,energy_ratio_to_auto,runtime,random_forest,162,65,1666,71.4378733432386,1.099044205280594,1.093727997969836,1.132306361803785,17.772567936452106,0.27342412209926314,0.27074582991190255,0.2968522182200104,10.667807885025272,10.465791305670372,11.573680085058395
1666,0.10679960713915664,0.23036106486005792,8.073554244184539,3.7378595957079597,21.065227739412343,84.8012002301862,1.1990506902545597,1.1658002823417657,energy_ratio,energy_ratio_to_auto,runtime,extra_trees,162,65,1666,43.73419324704446,0.6728337422622225,0.6663943179883063,0.6968752526678145,18.14971604058519,0.2792264006243875,0.27225716481916606,0.30745890173129736,10.894187299270824,10.602543484419584,12.117111592625196
1666,0.10338834838684907,0.21989646364197346,7.802216575429437,3.686414879746885,18.238980563015684,110.43902618879848,1.1990506902545597,1.173036492278739,energy_ratio,energy_ratio_to_auto,runtime,xgboost,162,65,1666,146.3421948698815,2.2514183826135614,1.9989686680492014,3.1917261803522705,0.7525345785543323,0.011577455054682035,0.007383645977824926,0.023658189782872797,0.4517014277036808,0.28837060555815697,0.940079428255558
1666,0.21908451423524658,0.4418197534909848,16.01895520864719,7.786340500195691,41.54489566874872,200.1075647040363,1.1990506902545597,1.1157039652160703,energy_ratio,energy_ratio_to_auto,ptx_launch,random_forest,71,65,1666,65.43033405370079,1.006620523903089,1.0040266860742122,1.076442239806056,17.404167538275942,0.2677564236657837,0.26433580089360476,0.2887878281529993,10.446679194643423,10.347287116858821,11.300123086915566
1666,0.20891655959837555,0.4053274987689038,15.834906755343185,7.397274142710657,40.65149990362955,241.1737272300738,1.1990506902545597,1.138244554644667,energy_ratio,energy_ratio_to_auto,ptx_launch,extra_trees,71,65,1666,37.36265558912419,0.5748100859865259,0.569198481971398,0.5956722938455641,17.9839170826599,0.2766756474255369,0.27388199605047703,0.2962414617650211,10.794668116842676,10.663532596081495,11.677425705756132
1666,0.19391038645292005,0.39408442639910785,14.567875897665647,6.691562630992291,37.207997319528275,221.3502759487481,1.1990506902545597,1.1347423818718199,energy_ratio,energy_ratio_to_auto,ptx_launch,xgboost,71,65,1666,89.96441708505154,1.384067955154639,1.264788863947615,2.064932430535555,0.4400295754894614,0.006769685776760945,0.0047195830848068,0.014684323640540243,0.2641233946515375,0.18606772646307945,0.5684735951945187
1666,0.126097416343766,0.2565424768322613,9.113069848582365,4.886857610060054,21.89831829479951,96.5896239004853,1.1990506902545597,1.1544704123102576,energy_ratio,energy_ratio_to_auto,ptx_runtime,random_forest,214,65,1666,83.12807234725915,1.278893420727064,1.2726304039824754,1.313933565467596,17.386485941475257,0.26748439909961935,0.2639716509729624,0.28710158853791656,10.436065991281668,10.372440491874631,11.272237228659483
1666,0.1053522486903219,0.2254358658462846,7.862258753469729,3.9124233857136304,21.04468586757418,92.89742652116514,1.1990506902545597,1.1639122866233804,energy_ratio,energy_ratio_to_auto,ptx_runtime,extra_trees,214,65,1666,51.132464384660125,0.7866532982255404,0.7822915939614177,0.7976575316395611,17.979527158662677,0.27660811013327197,0.269651633920148,0.3135551671497524,10.792033108440982,10.451541440561414,12.452400140177746
1666,0.11355426266831072,0.23805152904522028,8.492617537643525,3.9913446117949625,21.07926167225144,100.7198771984046,1.1990506902545597,1.1693685945628784,energy_ratio,energy_ratio_to_auto,ptx_runtime,xgboost,214,65,1666,142.4926157016307,2.1921940877173958,2.0388312130235136,2.5640266617294403,0.7800306607969105,0.012000471704567854,0.008823740994557738,0.025093361968174577,0.4682056787496462,0.34340200014412403,0.9673377964645624
1666,0.11924235276630916,0.2419385551862333,8.662864258167058,4.571018716819797,20.54517217097792,92.95893348410064,1.1990506902545597,1.1612344008735846,energy_ratio,energy_ratio_to_auto,launch_runtime,random_forest,174,65,1666,73.04469158011489,1.1237644858479214,1.1207202600780874,1.144817172503099,17.087527892552316,0.26288504450080485,0.25776175898499787,0.2859554817900062,10.256619383284704,10.103728836402297,11.049946557085674
1666,0.10701557839642402,0.23208391720624935,8.032396608814398,3.7576371324033495,21.609923627990952,96.88417443209086,1.1990506902545597,1.1635958020248423,energy_ratio,energy_ratio_to_auto,launch_runtime,extra_trees,174,65,1666,45.00974079640582,0.6924575507139358,0.6877111380454153,0.7145752085838467,17.073102123104036,0.2626631095862159,0.2599183190613985,0.2742707195691764,10.24796045804564,10.151461958885193,10.902073808014393
1666,0.10664204866422014,0.22515370533011136,8.055309526872032,3.676927154031329,19.555803537437036,114.75842277497183,1.1990506902545597,1.1773155274368277,energy_ratio,energy_ratio_to_auto,launch_runtime,xgboost,174,65,1666,156.2084384104237,2.403206744775749,1.9151092211250216,3.246557098347694,0.7231884612701833,0.01112597632723359,0.007608057931065559,0.023859178833663463,0.43408671144668864,0.29754120856523514,0.9216815358600937
1666,0.12655550093847648,0.25680766262072985,9.16361151761905,4.858707793888719,22.53092667878208,97.9316724293073,1.1990506902545597,1.1549526020760765,energy_ratio,energy_ratio_to_auto,ptx_launch_runtime,random_forest,226,65,1666,85.65920461900532,1.3178339172154665,1.308270427165553,1.343937487201765,17.142558582592756,0.263731670501427,0.26230749394744635,0.2776063055265695,10.289651009959638,10.19088930199639,10.838337078547248
1666,0.10898208508759943,0.2352016643446145,8.12033513801613,4.00898365327247,21.6271635309816,98.38161775278634,1.1990506902545597,1.162084811052094,energy_ratio,energy_ratio_to_auto,ptx_launch_runtime,extra_trees,226,65,1666,53.27167464513332,0.8195642253097434,0.8137417959515005,0.8407598168123513,17.590508569497615,0.27062320876150175,0.2691727711353451,0.28617415493354204,10.558528553119817,10.443703513592482,11.276441079994234
1666,0.112771449989586,0.23896263547154173,8.433851984367923,3.739329266868302,20.865841332474613,88.83200608547533,1.1990506902545597,1.168675498158133,energy_ratio,energy_ratio_to_auto,ptx_launch_runtime,xgboost,226,65,1666,138.93399915541522,2.137446140852542,2.03801698400639,2.475777901755646,0.6522431133780628,0.010034509436585582,0.008927920833230019,0.00934446370229125,0.3915024690144435,0.3475566767156124,0.37062135338783264
