constraint_name,constraint_limit,feature_set,model,workload,kernel,kernel_id,selected_requested_core_clock,selected_requested_mem_clock,selected_effective_core_clock,selected_effective_mem_clock,selected_is_auto,no_pred_feasible,selected_pred_time_ratio,selected_pred_energy_ratio,selected_actual_time_ratio,selected_actual_energy_ratio,selected_actual_slowdown_pct,selected_actual_energy_saving_pct,selected_violates_constraint,oracle_requested_core_clock,oracle_requested_mem_clock,oracle_effective_core_clock,oracle_effective_mem_clock,oracle_is_auto,oracle_actual_time_ratio,oracle_actual_energy_ratio,oracle_actual_slowdown_pct,oracle_actual_energy_saving_pct,oracle_gap_energy_saving_pp,oracle_gap_energy_ratio,auto_time_per_launch_mean_ms,auto_energy_per_launch_mean_mJ,selected_time_per_launch_ms,selected_energy_per_launch_mJ,oracle_time_per_launch_ms,oracle_energy_per_launch_mJ
5pct,1.05,runtime,random_forest,2mm,mm2_kernel2,2mm::mm2kernel2,1890,9251,1890.0,9251.0,False,False,0.9990134663379172,0.9716765244400988,0.996877914780343,0.993135426730204,-0.3122085219656956,0.6864573269795948,False,1890,5001,1890.0,5001.0,False,0.9963153457813638,0.8975959893322133,-0.3684654218636174,10.24040106677867,9.553943739799076,0.09553943739799076,2.032619105691057,674.4752032520325,2.0262730956239867,669.8452188006485,2.025129607128392,605.4062373430538
5pct,1.05,runtime,random_forest,3mm,mm3_kernel1,3mm::mm3kernel1,1890,810,1890.0,810.0,False,False,1.0126918678450427,0.6929253757826918,1.0014697353367508,0.6895903239160999,0.1469735336750766,31.040967608390012,False,1890,810,1890.0,810.0,False,1.0014697353367508,0.6895903239160999,0.1469735336750766,31.040967608390012,0.0,0.0,0.329816160949868,112.27612137203168,0.33030090341624746,77.42452690498267,0.33030090341624746,77.42452690498267
5pct,1.05,runtime,random_forest,3mm,mm3_kernel2,3mm::mm3kernel2,1890,810,1890.0,810.0,False,False,1.0062184797030111,0.7111735080470144,1.0087362248051623,0.6960437035868351,0.873622480516234,30.39562964131649,False,1890,810,1890.0,810.0,False,1.0087362248051623,0.6960437035868351,0.873622480516234,30.39562964131649,0.0,0.0,0.3275530298067474,112.24828037995414,0.3304146067107512,78.12970879691676,0.3304146067107512,78.12970879691676
5pct,1.05,runtime,random_forest,3mm,mm3_kernel3,3mm::mm3kernel3,1890,810,1890.0,810.0,False,False,1.0248815731015335,0.7143416070416098,1.003093574726729,0.6970121118587808,0.3093574726729109,30.298788814121924,False,1890,810,1890.0,810.0,False,1.003093574726729,0.6970121118587808,0.3093574726729109,30.298788814121924,0.0,0.0,0.3288522854324235,113.16270963498847,0.32986961455146435,78.87577922634532,0.32986961455146435,78.87577922634532
5pct,1.05,runtime,random_forest,atax,atax_kernel1,atax::ataxkernel1,1890,9251,1890.0,9251.0,False,False,1.0125220583650103,0.8790596345441912,1.016335025124547,0.8606629361380124,1.6335025124547098,13.933706386198763,False,1890,5001,1890.0,5001.0,False,1.0119963497058844,0.7306481980711437,1.1996349705884368,26.935180192885632,13.00147380668687,0.1300147380668687,1.2237679882525696,296.98164464023495,1.2437582690872917,255.6010942551604,1.238448736998514,216.9891035165924
5pct,1.05,runtime,random_forest,atax,atax_kernel2,atax::ataxkernel2,1890,9251,1890.0,9251.0,False,False,1.020129941127178,0.8822415961063309,1.0183425103696826,0.8900788033042953,1.8342510369682596,10.992119669570465,False,1890,9501,1890.0,9501.0,False,1.0183581926624277,0.880693933046719,1.8358192662427664,11.930606695328105,0.9384870257576399,0.009384870257576394,1.216248784046693,241.7205739299611,1.2385578399801833,215.1503591776072,1.2385769135496654,212.88184295268763
5pct,1.05,runtime,random_forest,bicg,bicg_kernel1,bicg::bicgkernel1,1890,9251,1890.0,9251.0,False,False,1.0212716298865516,0.8901175869233249,1.0129555101921854,0.8737901101147881,1.2955510192185438,12.620988988521187,False,1890,9501,1890.0,9501.0,False,1.0134672627322636,0.8602989700830403,1.3467262732263618,13.970102991695965,1.349114003174778,0.013491140031747784,1.1971323916686616,219.7598755087384,1.2126418525703202,192.02400581959265,1.2132544881125666,189.0591945657448
5pct,1.05,runtime,random_forest,bicg,bicg_kernel2,bicg::bicgkernel2,1890,9251,1890.0,9251.0,False,False,1.0202124693397745,0.8841402926181327,1.030091963343216,0.9110042492150848,3.0091963343215955,8.899575078491518,False,1890,5001,1890.0,5001.0,False,1.0347755282696218,0.7963582361527551,3.4775528269621825,20.364176384724487,11.46460130623297,0.11464601306232969,0.6395367694078526,134.00882465788465,0.6587816864295125,122.08260869565216,0.661776998411858,106.71903123345686
5pct,1.05,runtime,random_forest,correlation,corr_kernel,correlation::corrkernel,1890,9251,1890.0,9251.0,False,False,1.0204596855496717,0.8655773452902938,1.0183902424316302,0.8389598343549344,1.8390242431630233,16.104016564506562,False,1890,9251,1890.0,9251.0,False,1.0183902424316302,0.8389598343549344,1.8390242431630233,16.104016564506562,0.0,0.0,1351.50475,243653.5,1376.35925,204415.5,1376.35925,204415.5
5pct,1.05,runtime,random_forest,correlation,mean_kernel,correlation::meankernel,1890,9251,1890.0,9251.0,False,False,1.0169717721221276,0.8495850646917267,1.0176798779746556,0.8233611709555464,1.7679877974655644,17.66388290444536,False,1890,9251,1890.0,9251.0,False,1.0176798779746556,0.8233611709555464,1.7679877974655644,17.66388290444536,0.0,0.0,0.6022942664418213,104.5072271741749,0.6129427555773475,86.04719293944595,0.6129427555773475,86.04719293944595
